01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,08. Símbolo,07. Escala,09. Valor
2013,Portugal,,Homens,"A. Agricultura, produção animal, caça, floresta e pesca",,x, euros,
2013,Portugal,,Homens,"B. Indústria, construção, energia e água",,x, euros,
2013,Portugal,,Homens,C. Serviços,,x, euros,
2013,Portugal,,Homens,Total,,x, euros,
2013,Portugal,,Mulheres,"A. Agricultura, produção animal, caça, floresta e pesca",,x, euros,
2013,Portugal,,Mulheres,"B. Indústria, construção, energia e água",,x, euros,
2013,Portugal,,Mulheres,C. Serviços,,x, euros,
2013,Portugal,,Mulheres,Total,,x, euros,
2013,Portugal,,Total,"A. Agricultura, produção animal, caça, floresta e pesca",,x, euros,
2013,Portugal,,Total,"B. Indústria, construção, energia e água",,x, euros,
2013,Portugal,,Total,C. Serviços,,x, euros,
2013,Portugal,,Total,Total,,x, euros,
2014,Portugal,,Homens,"A. Agricultura, produção animal, caça, floresta e pesca",,x, euros,
2014,Portugal,,Homens,"B. Indústria, construção, energia e água",,x, euros,
2014,Portugal,,Homens,C. Serviços,,x, euros,
2014,Portugal,,Homens,Total,,x, euros,
2014,Portugal,,Mulheres,"A. Agricultura, produção animal, caça, floresta e pesca",,x, euros,
2014,Portugal,,Mulheres,"B. Indústria, construção, energia e água",,x, euros,
2014,Portugal,,Mulheres,C. Serviços,,x, euros,
2014,Portugal,,Mulheres,Total,,x, euros,
2014,Portugal,,Total,"A. Agricultura, produção animal, caça, floresta e pesca",,x, euros,
2014,Portugal,,Total,"B. Indústria, construção, energia e água",,x, euros,
2014,Portugal,,Total,C. Serviços,,x, euros,
2014,Portugal,,Total,Total,,x, euros,
2015,Portugal,,Homens,"A. Agricultura, produção animal, caça, floresta e pesca",,, euros,836.4
2015,Portugal,,Homens,"B. Indústria, construção, energia e água",,, euros,1110.8
2015,Portugal,,Homens,C. Serviços,,, euros,1282.9
2015,Portugal,,Homens,Total,,, euros,1204.4
2015,Portugal,,Mulheres,"A. Agricultura, produção animal, caça, floresta e pesca",,, euros,719.3
2015,Portugal,,Mulheres,"B. Indústria, construção, energia e água",,, euros,856.3
2015,Portugal,,Mulheres,C. Serviços,,, euros,1001.2
2015,Portugal,,Mulheres,Total,,, euros,965.3
2015,Portugal,,Total,"A. Agricultura, produção animal, caça, floresta e pesca",,, euros,801.5
2015,Portugal,,Total,"B. Indústria, construção, energia e água",,, euros,1027.2
2015,Portugal,,Total,C. Serviços,,, euros,1134.1
2015,Portugal,,Total,Total,,, euros,1094.1
2016,Portugal,,Homens,"A. Agricultura, produção animal, caça, floresta e pesca",,, euros,867.5
2016,Portugal,,Homens,"B. Indústria, construção, energia e água",,, euros,1118.4
2016,Portugal,,Homens,C. Serviços,,, euros,1289.6
2016,Portugal,,Homens,Total,,, euros,1212.2
2016,Portugal,,Mulheres,"A. Agricultura, produção animal, caça, floresta e pesca",,, euros,749.4
2016,Portugal,,Mulheres,"B. Indústria, construção, energia e água",,, euros,875.3
2016,Portugal,,Mulheres,C. Serviços,,, euros,1015.4
2016,Portugal,,Mulheres,Total,,, euros,981.0
2016,Portugal,,Total,"A. Agricultura, produção animal, caça, floresta e pesca",,, euros,832.7
2016,Portugal,,Total,"B. Indústria, construção, energia e água",,, euros,1038.7
2016,Portugal,,Total,C. Serviços,,, euros,1144.8
2016,Portugal,,Total,Total,,, euros,1105.6
2017,Portugal,,Homens,"A. Agricultura, produção animal, caça, floresta e pesca",,, euros,882.2
2017,Portugal,,Homens,"B. Indústria, construção, energia e água",,, euros,1142.3
2017,Portugal,,Homens,C. Serviços,,, euros,1308.9
2017,Portugal,,Homens,Total,,, euros,1233.5
2017,Portugal,,Mulheres,"A. Agricultura, produção animal, caça, floresta e pesca",,, euros,779.2
2017,Portugal,,Mulheres,"B. Indústria, construção, energia e água",,, euros,912.2
2017,Portugal,,Mulheres,C. Serviços,,, euros,1041.1
2017,Portugal,,Mulheres,Total,,, euros,1009.4
2017,Portugal,,Total,"A. Agricultura, produção animal, caça, floresta e pesca",,, euros,852.0
2017,Portugal,,Total,"B. Indústria, construção, energia e água",,, euros,1067.5
2017,Portugal,,Total,C. Serviços,,, euros,1168.3
2017,Portugal,,Total,Total,,, euros,1130.8
2018,Portugal,,Homens,"A. Agricultura, produção animal, caça, floresta e pesca",,, euros,927.6
2018,Portugal,,Homens,"B. Indústria, construção, energia e água",,, euros,1175.5
2018,Portugal,,Homens,C. Serviços,,, euros,1346.8
2018,Portugal,,Homens,Total,,, euros,1269.6
2018,Portugal,,Mulheres,"A. Agricultura, produção animal, caça, floresta e pesca",,, euros,820.7
2018,Portugal,,Mulheres,"B. Indústria, construção, energia e água",,, euros,954.4
2018,Portugal,,Mulheres,C. Serviços,,, euros,1073.1
2018,Portugal,,Mulheres,Total,,, euros,1044.3
2018,Portugal,,Total,"A. Agricultura, produção animal, caça, floresta e pesca",,, euros,896.7
2018,Portugal,,Total,"B. Indústria, construção, energia e água",,, euros,1105.1
2018,Portugal,,Total,C. Serviços,,, euros,1203.4
2018,Portugal,,Total,Total,,, euros,1166.9
2019,Portugal,,Homens,"A. Agricultura, produção animal, caça, floresta e pesca",,, euros,977.6
2019,Portugal,,Homens,"B. Indústria, construção, energia e água",,, euros,1208.3
2019,Portugal,,Homens,C. Serviços,,, euros,1387.2
2019,Portugal,,Homens,Total,,, euros,1307.7
2019,Portugal,,Mulheres,"A. Agricultura, produção animal, caça, floresta e pesca",,, euros,857.9
2019,Portugal,,Mulheres,"B. Indústria, construção, energia e água",,, euros,1000.1
2019,Portugal,,Mulheres,C. Serviços,,, euros,1110.9
2019,Portugal,,Mulheres,Total,,, euros,1084.7
2019,Portugal,,Total,"A. Agricultura, produção animal, caça, floresta e pesca",,, euros,943.7
2019,Portugal,,Total,"B. Indústria, construção, energia e água",,, euros,1143.5
2019,Portugal,,Total,C. Serviços,,, euros,1242.4
2019,Portugal,,Total,Total,,, euros,1206.3
2020,Portugal,,Homens,"A. Agricultura, produção animal, caça, floresta e pesca",,, euros,970.1
2020,Portugal,,Homens,"B. Indústria, construção, energia e água",,, euros,1235.5
2020,Portugal,,Homens,C. Serviços,,, euros,1436.0
2020,Portugal,,Homens,Total,,, euros,1344.7
2020,Portugal,,Mulheres,"A. Agricultura, produção animal, caça, floresta e pesca",,, euros,895.4
2020,Portugal,,Mulheres,"B. Indústria, construção, energia e água",,, euros,1046.5
2020,Portugal,,Mulheres,C. Serviços,,, euros,1154.4
2020,Portugal,,Mulheres,Total,,, euros,1128.5
2020,Portugal,,Total,"A. Agricultura, produção animal, caça, floresta e pesca",,, euros,949.7
2020,Portugal,,Total,"B. Indústria, construção, energia e água",,, euros,1177.8
2020,Portugal,,Total,C. Serviços,,, euros,1288.5
2020,Portugal,,Total,Total,,, euros,1247.2
2021,Portugal,,Homens,"A. Agricultura, produção animal, caça, floresta e pesca",,, euros,1032.5
2021,Portugal,,Homens,"B. Indústria, construção, energia e água",,, euros,1272.1
2021,Portugal,,Homens,C. Serviços,,, euros,1483.8
2021,Portugal,,Homens,Total,,, euros,1389.8
2021,Portugal,,Mulheres,"A. Agricultura, produção animal, caça, floresta e pesca",,, euros,952.4
2021,Portugal,,Mulheres,"B. Indústria, construção, energia e água",,, euros,1080.6
2021,Portugal,,Mulheres,C. Serviços,,, euros,1195.6
2021,Portugal,,Mulheres,Total,,, euros,1168.9
2021,Portugal,,Total,"A. Agricultura, produção animal, caça, floresta e pesca",,, euros,1010.7
2021,Portugal,,Total,"B. Indústria, construção, energia e água",,, euros,1213.2
2021,Portugal,,Total,C. Serviços,,, euros,1332.3
2021,Portugal,,Total,Total,,, euros,1289.5
2022,Portugal,,Homens,"A. Agricultura, produção animal, caça, floresta e pesca",,, euros,1076.6
2022,Portugal,,Homens,"B. Indústria, construção, energia e água",,, euros,1337.0
2022,Portugal,,Homens,C. Serviços,,, euros,1570.2
2022,Portugal,,Homens,Total,,, euros,1469.2
2022,Portugal,,Mulheres,"A. Agricultura, produção animal, caça, floresta e pesca",,, euros,1001.0
2022,Portugal,,Mulheres,"B. Indústria, construção, energia e água",,, euros,1150.6
2022,Portugal,,Mulheres,C. Serviços,,, euros,1258.3
2022,Portugal,,Mulheres,Total,,, euros,1233.5
2022,Portugal,,Total,"A. Agricultura, produção animal, caça, floresta e pesca",,, euros,1056.2
2022,Portugal,,Total,"B. Indústria, construção, energia e água",,, euros,1279.7
2022,Portugal,,Total,C. Serviços,,, euros,1407.3
2022,Portugal,,Total,Total,,, euros,1362.4
2023,Portugal,,Homens,"A. Agricultura, produção animal, caça, floresta e pesca",,, euros,1142.5
2023,Portugal,,Homens,"B. Indústria, construção, energia e água",,, euros,1428.3
2023,Portugal,,Homens,C. Serviços,,, euros,1675.2
2023,Portugal,,Homens,Total,,, euros,1570.1
2023,Portugal,,Mulheres,"A. Agricultura, produção animal, caça, floresta e pesca",,, euros,1071.7
2023,Portugal,,Mulheres,"B. Indústria, construção, energia e água",,, euros,1248.6
2023,Portugal,,Mulheres,C. Serviços,,, euros,1351.0
2023,Portugal,,Mulheres,Total,,, euros,1327.9
2023,Portugal,,Total,"A. Agricultura, produção animal, caça, floresta e pesca",,, euros,1123.4
2023,Portugal,,Total,"B. Indústria, construção, energia e água",,, euros,1374.2
2023,Portugal,,Total,C. Serviços,,, euros,1506.7
2023,Portugal,,Total,Total,,, euros,1460.8
