01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,08. Símbolo,07. Escala,09. Valor
2004,Portugal,,,,,, euros,877.5
2005,Portugal,,,,,, euros,907.2
2006,Portugal,,,,,, euros,934.0
2007,Portugal,,,,,, euros,963.3
2008,Portugal,,,,,, euros,1008.0
2009,Portugal,,,,,, euros,1034.2
2010,Portugal,,,,,x, euros,
2011,Portugal,,,,,x, euros,
2012,Portugal,,,,,x, euros,
2013,Portugal,,,,,x, euros,
2014,Portugal,,,,,x, euros,
2015,Portugal,,,,,, euros,1094.1
2016,Portugal,,,,,, euros,1105.6
2017,Portugal,,,,,, euros,1130.8
2018,Portugal,,,,,, euros,1166.9
2019,Portugal,,,,,, euros,1206.3
2020,Portugal,,,,,, euros,1247.2
2021,Portugal,,,,,, euros,1289.5
2022,Portugal,,,,,, euros,1362.4
2023,Portugal,,,,,, euros,1460.8
2004,Abrantes,Município,,,,, euros,800.7
2004,Águeda,Município,,,,, euros,740.9
2004,Aguiar da Beira,Município,,,,, euros,563.7
2004,Alandroal,Município,,,,, euros,642.4
2004,Albergaria-a-Velha,Município,,,,, euros,769.3
2004,Albufeira,Município,,,,, euros,759.8
2004,Alcácer do Sal,Município,,,,, euros,688.8
2004,Alcanena,Município,,,,, euros,740.7
2004,Alcobaça,Município,,,,, euros,695.1
2004,Alcochete,Município,,,,, euros,892.6
2004,Alcoutim,Município,,,,, euros,645.0
2004,Alenquer,Município,,,,, euros,870.7
2004,Alfândega da Fé,Município,,,,, euros,576.4
2004,Alijó,Município,,,,, euros,630.6
2004,Aljezur,Município,,,,, euros,593.1
2004,Aljustrel,Município,,,,, euros,744.6
2004,Almada,Município,,,,, euros,833.6
2004,Almeida,Município,,,,, euros,660.4
2004,Almeirim,Município,,,,, euros,747.5
2004,Almodôvar,Município,,,,, euros,614.2
2004,Alpiarça,Município,,,,, euros,693.8
2004,Alter do Chão,Município,,,,, euros,663.9
2004,Alvaiázere,Município,,,,, euros,653.2
2004,Alvito,Município,,,,, euros,702.5
2004,Amadora,Município,,,,, euros,1045.1
2004,Amarante,Município,,,,, euros,644.4
2004,Amares,Município,,,,, euros,626.3
2004,Anadia,Município,,,,, euros,725.2
2004,Angra do Heroísmo,Município,,,,, euros,723.4
2004,Ansião,Município,,,,, euros,691.4
2004,Arcos de Valdevez,Município,,,,, euros,623.8
2004,Arganil,Município,,,,, euros,627.2
2004,Armamar,Município,,,,, euros,582.8
2004,Arouca,Município,,,,, euros,566.7
2004,Arraiolos,Município,,,,, euros,662.6
2004,Arronches,Município,,,,, euros,624.4
2004,Arruda dos Vinhos,Município,,,,, euros,767.2
2004,Aveiro,Município,,,,, euros,939.6
2004,Avis,Município,,,,, euros,630.8
2004,Azambuja,Município,,,,, euros,1012.7
2004,Baião,Município,,,,, euros,541.9
2004,Barcelos,Município,,,,, euros,616.2
2004,Barrancos,Município,,,,, euros,612.3
2004,Barreiro,Município,,,,, euros,868.4
2004,Batalha,Município,,,,, euros,745.0
2004,Beja,Município,,,,, euros,790.5
2004,Belmonte,Município,,,,, euros,596.4
2004,Benavente,Município,,,,, euros,834.9
2004,Bombarral,Município,,,,, euros,687.6
2004,Borba,Município,,,,, euros,744.5
2004,Boticas,Município,,,,, euros,624.5
2004,Braga,Município,,,,, euros,746.5
2004,Bragança,Município,,,,, euros,684.8
2004,Cabeceiras de Basto,Município,,,,, euros,593.7
2004,Cadaval,Município,,,,, euros,670.0
2004,Caldas da Rainha,Município,,,,, euros,726.3
2004,Calheta [R.A.A.],Município,,,,, euros,588.8
2004,Calheta [R.A.M.],Município,,,,, euros,864.6
2004,Câmara de Lobos,Município,,,,, euros,782.1
2004,Caminha,Município,,,,, euros,688.2
2004,Campo Maior,Município,,,,, euros,893.6
2004,Cantanhede,Município,,,,, euros,763.1
2004,Carrazeda de Ansiães,Município,,,,, euros,621.3
2004,Carregal do Sal,Município,,,,, euros,684.4
2004,Cartaxo,Município,,,,, euros,770.7
2004,Cascais,Município,,,,, euros,947.6
2004,Castanheira de Pêra,Município,,,,, euros,636.6
2004,Castelo Branco,Município,,,,, euros,703.0
2004,Castelo de Paiva,Município,,,,, euros,586.3
2004,Castelo de Vide,Município,,,,, euros,628.9
2004,Castro Daire,Município,,,,, euros,589.2
2004,Castro Marim,Município,,,,, euros,706.3
2004,Castro Verde,Município,,,,, euros,1171.9
2004,Celorico da Beira,Município,,,,, euros,685.2
2004,Celorico de Basto,Município,,,,, euros,572.4
2004,Chamusca,Município,,,,, euros,617.5
2004,Chaves,Município,,,,, euros,631.5
2004,Cinfães,Município,,,,, euros,607.7
2004,Coimbra,Município,,,,, euros,855.3
2004,Condeixa-a-Nova,Município,,,,, euros,719.1
2004,Constância,Município,,,,, euros,864.6
2004,Coruche,Município,,,,, euros,712.8
2004,Corvo,Município,,,,, euros,793.5
2004,Covilhã,Município,,,,, euros,665.9
2004,Crato,Município,,,,, euros,603.4
2004,Cuba,Município,,,,, euros,661.0
2004,Elvas,Município,,,,, euros,750.1
2004,Entroncamento,Município,,,,, euros,903.2
2004,Espinho,Município,,,,, euros,717.2
2004,Esposende,Município,,,,, euros,614.0
2004,Estarreja,Município,,,,, euros,878.8
2004,Estremoz,Município,,,,, euros,731.9
2004,Évora,Município,,,,, euros,824.5
2004,Fafe,Município,,,,, euros,570.2
2004,Faro,Município,,,,, euros,902.8
2004,Felgueiras,Município,,,,, euros,561.9
2004,Ferreira do Alentejo,Município,,,,, euros,681.5
2004,Ferreira do Zêzere,Município,,,,, euros,605.9
2004,Figueira da Foz,Município,,,,, euros,890.3
2004,Figueira de Castelo Rodrigo,Município,,,,, euros,587.2
2004,Figueiró dos Vinhos,Município,,,,, euros,575.9
2004,Fornos de Algodres,Município,,,,, euros,580.8
2004,Freixo de Espada à Cinta,Município,,,,, euros,532.8
2004,Fronteira,Município,,,,, euros,744.3
2004,Funchal,Município,,,,, euros,889.9
2004,Fundão,Município,,,,, euros,683.2
2004,Gavião,Município,,,,, euros,601.8
2004,Góis,Município,,,,, euros,563.3
2004,Golegã,Município,,,,, euros,625.0
2004,Gondomar,Município,,,,, euros,685.5
2004,Gouveia,Município,,,,, euros,589.7
2004,Grândola,Município,,,,, euros,664.4
2004,Guarda,Município,,,,, euros,707.7
2004,Guimarães,Município,,,,, euros,645.0
2004,Horta,Município,,,,, euros,712.9
2004,Idanha-a-Nova,Município,,,,, euros,588.6
2004,Ílhavo,Município,,,,, euros,804.3
2004,Lagoa,Município,,,,, euros,783.4
2004,Lagoa [R.A.A.],Município,,,,, euros,623.5
2004,Lagos,Município,,,,, euros,687.2
2004,Lajes das Flores,Município,,,,, euros,661.1
2004,Lajes do Pico,Município,,,,, euros,679.6
2004,Lamego,Município,,,,, euros,656.4
2004,Leiria,Município,,,,, euros,801.6
2004,Lisboa,Município,,,,, euros,1323.3
2004,Loulé,Município,,,,, euros,818.4
2004,Loures,Município,,,,, euros,943.3
2004,Lourinhã,Município,,,,, euros,596.3
2004,Lousã,Município,,,,, euros,706.0
2004,Lousada,Município,,,,, euros,537.9
2004,Mação,Município,,,,, euros,621.1
2004,Macedo de Cavaleiros,Município,,,,, euros,626.5
2004,Machico,Município,,,,, euros,812.2
2004,Madalena,Município,,,,, euros,648.9
2004,Mafra,Município,,,,, euros,710.3
2004,Maia,Município,,,,, euros,891.5
2004,Mangualde,Município,,,,, euros,777.2
2004,Manteigas,Município,,,,, euros,641.8
2004,Marco de Canaveses,Município,,,,, euros,580.6
2004,Marinha Grande,Município,,,,, euros,937.0
2004,Marvão,Município,,,,, euros,596.0
2004,Matosinhos,Município,,,,, euros,940.2
2004,Mealhada,Município,,,,, euros,773.2
2004,Mêda,Município,,,,, euros,632.8
2004,Melgaço,Município,,,,, euros,607.9
2004,Mértola,Município,,,,, euros,587.8
2004,Mesão Frio,Município,,,,, euros,592.4
2004,Mira,Município,,,,, euros,580.4
2004,Miranda do Corvo,Município,,,,, euros,623.2
2004,Miranda do Douro,Município,,,,, euros,633.5
2004,Mirandela,Município,,,,, euros,694.5
2004,Mogadouro,Município,,,,, euros,624.8
2004,Moimenta da Beira,Município,,,,, euros,589.7
2004,Moita,Município,,,,, euros,708.5
2004,Monção,Município,,,,, euros,580.9
2004,Monchique,Município,,,,, euros,603.0
2004,Mondim de Basto,Município,,,,, euros,521.9
2004,Monforte,Município,,,,, euros,658.3
2004,Montalegre,Município,,,,, euros,634.4
2004,Montemor-o-Novo,Município,,,,, euros,710.1
2004,Montemor-o-Velho,Município,,,,, euros,684.5
2004,Montijo,Município,,,,, euros,774.8
2004,Mora,Município,,,,, euros,671.3
2004,Mortágua,Município,,,,, euros,764.8
2004,Moura,Município,,,,, euros,705.0
2004,Mourão,Município,,,,, euros,690.2
2004,Murça,Município,,,,, euros,599.5
2004,Murtosa,Município,,,,, euros,603.4
2004,Nazaré,Município,,,,, euros,629.4
2004,Nelas,Município,,,,, euros,743.6
2004,Nisa,Município,,,,, euros,651.5
2004,Nordeste,Município,,,,, euros,622.9
2004,Óbidos,Município,,,,, euros,732.6
2004,Odemira,Município,,,,, euros,691.9
2004,Odivelas,Município,,,,, euros,749.6
2004,Oeiras,Município,,,,, euros,1487.3
2004,Oleiros,Município,,,,, euros,554.8
2004,Olhão,Município,,,,, euros,711.6
2004,Oliveira de Azeméis,Município,,,,, euros,763.8
