01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,08. Símbolo,07. Escala,09. Valor
2013,Portugal,,"1. Representantes do poder legislativo e de órgãos executivos, dirigentes, diretores e gestores executivos",,,x, euros,
2013,Portugal,,2. Especialistas das atividades intelectuais e científicas,,,x, euros,
2013,Portugal,,3. Técnicos e profissões de nível intermédio,,,x, euros,
2013,Portugal,,4. Pessoal administrativo,,,x, euros,
2013,Portugal,,"5. Trabalhadores dos serviços pessoais, de proteção e segurança e vendedores",,,x, euros,
2013,Portugal,,"6. Agricultores e trabalhadores qualificados da agricultura, da pesca e da floresta",,,x, euros,
2013,Portugal,,"7. Trabalhadores qualificados da indústria, construção e artífices",,,x, euros,
2013,Portugal,,8. Operadores de instalações e máquinas e trabalhadores da montagem,,,x, euros,
2013,Portugal,,9. Trabalhadores não qualificados,,,x, euros,
2013,Portugal,,Total,,,x, euros,
2014,Portugal,,"1. Representantes do poder legislativo e de órgãos executivos, dirigentes, diretores e gestores executivos",,,x, euros,
2014,Portugal,,2. Especialistas das atividades intelectuais e científicas,,,x, euros,
2014,Portugal,,3. Técnicos e profissões de nível intermédio,,,x, euros,
2014,Portugal,,4. Pessoal administrativo,,,x, euros,
2014,Portugal,,"5. Trabalhadores dos serviços pessoais, de proteção e segurança e vendedores",,,x, euros,
2014,Portugal,,"6. Agricultores e trabalhadores qualificados da agricultura, da pesca e da floresta",,,x, euros,
2014,Portugal,,"7. Trabalhadores qualificados da indústria, construção e artífices",,,x, euros,
2014,Portugal,,8. Operadores de instalações e máquinas e trabalhadores da montagem,,,x, euros,
2014,Portugal,,9. Trabalhadores não qualificados,,,x, euros,
2014,Portugal,,Total,,,x, euros,
2015,Portugal,,"1. Representantes do poder legislativo e de órgãos executivos, dirigentes, diretores e gestores executivos",,,, euros,2435.3
2015,Portugal,,2. Especialistas das atividades intelectuais e científicas,,,, euros,1776.8
2015,Portugal,,3. Técnicos e profissões de nível intermédio,,,, euros,1486.4
2015,Portugal,,4. Pessoal administrativo,,,, euros,1043.2
2015,Portugal,,"5. Trabalhadores dos serviços pessoais, de proteção e segurança e vendedores",,,, euros,767.7
2015,Portugal,,"6. Agricultores e trabalhadores qualificados da agricultura, da pesca e da floresta",,,, euros,765.1
2015,Portugal,,"7. Trabalhadores qualificados da indústria, construção e artífices",,,, euros,847.9
2015,Portugal,,8. Operadores de instalações e máquinas e trabalhadores da montagem,,,, euros,855.7
2015,Portugal,,9. Trabalhadores não qualificados,,,, euros,690.9
2015,Portugal,,Total,,,, euros,1094.1
2016,Portugal,,"1. Representantes do poder legislativo e de órgãos executivos, dirigentes, diretores e gestores executivos",,,, euros,2462.7
2016,Portugal,,2. Especialistas das atividades intelectuais e científicas,,,, euros,1785.9
2016,Portugal,,3. Técnicos e profissões de nível intermédio,,,, euros,1496.4
2016,Portugal,,4. Pessoal administrativo,,,, euros,1046.5
2016,Portugal,,"5. Trabalhadores dos serviços pessoais, de proteção e segurança e vendedores",,,, euros,784.8
2016,Portugal,,"6. Agricultores e trabalhadores qualificados da agricultura, da pesca e da floresta",,,, euros,798.3
2016,Portugal,,"7. Trabalhadores qualificados da indústria, construção e artífices",,,, euros,859.6
2016,Portugal,,8. Operadores de instalações e máquinas e trabalhadores da montagem,,,, euros,876.2
2016,Portugal,,9. Trabalhadores não qualificados,,,, euros,710.8
2016,Portugal,,Total,,,, euros,1105.6
2017,Portugal,,"1. Representantes do poder legislativo e de órgãos executivos, dirigentes, diretores e gestores executivos",,,, euros,2491.7
2017,Portugal,,2. Especialistas das atividades intelectuais e científicas,,,, euros,1810.9
2017,Portugal,,3. Técnicos e profissões de nível intermédio,,,, euros,1520.0
2017,Portugal,,4. Pessoal administrativo,,,, euros,1063.7
2017,Portugal,,"5. Trabalhadores dos serviços pessoais, de proteção e segurança e vendedores",,,, euros,808.5
2017,Portugal,,"6. Agricultores e trabalhadores qualificados da agricultura, da pesca e da floresta",,,, euros,802.1
2017,Portugal,,"7. Trabalhadores qualificados da indústria, construção e artífices",,,, euros,885.7
2017,Portugal,,8. Operadores de instalações e máquinas e trabalhadores da montagem,,,, euros,908.4
2017,Portugal,,9. Trabalhadores não qualificados,,,, euros,745.7
2017,Portugal,,Total,,,, euros,1130.8
2018,Portugal,,"1. Representantes do poder legislativo e de órgãos executivos, dirigentes, diretores e gestores executivos",,,, euros,2553.3
2018,Portugal,,2. Especialistas das atividades intelectuais e científicas,,,, euros,1853.9
2018,Portugal,,3. Técnicos e profissões de nível intermédio,,,, euros,1555.4
2018,Portugal,,4. Pessoal administrativo,,,, euros,1088.8
2018,Portugal,,"5. Trabalhadores dos serviços pessoais, de proteção e segurança e vendedores",,,, euros,836.1
2018,Portugal,,"6. Agricultores e trabalhadores qualificados da agricultura, da pesca e da floresta",,,, euros,854.4
