01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,08. Símbolo,07. Escala,09. Valor
2013,Portugal,,01. Inferior ao 1.º ciclo,,,x, euros,
2013,Portugal,,02. Básico - 1º Ciclo,,,x, euros,
2013,Portugal,,03. Básico - 2º Ciclo,,,x, euros,
2013,Portugal,,04. Básico - 3º Ciclo,,,x, euros,
2013,Portugal,,05. Secundário,,,x, euros,
2013,Portugal,,06. Curso técnico superior profissional,,,x, euros,
2013,Portugal,,07. Bacharelato,,,x, euros,
2013,Portugal,,08. Licenciatura,,,x, euros,
2013,Portugal,,09. Mestrado,,,x, euros,
2013,Portugal,,10. Doutoramento,,,x, euros,
2013,Portugal,,Total,,,x, euros,
2014,Portugal,,01. Inferior ao 1.º ciclo,,,x, euros,
2014,Portugal,,02. Básico - 1º Ciclo,,,x, euros,
2014,Portugal,,03. Básico - 2º Ciclo,,,x, euros,
2014,Portugal,,04. Básico - 3º Ciclo,,,x, euros,
2014,Portugal,,05. Secundário,,,x, euros,
2014,Portugal,,06. Curso técnico superior profissional,,,x, euros,
2014,Portugal,,07. Bacharelato,,,x, euros,
2014,Portugal,,08. Licenciatura,,,x, euros,
2014,Portugal,,09. Mestrado,,,x, euros,
2014,Portugal,,10. Doutoramento,,,x, euros,
2014,Portugal,,Total,,,x, euros,
2015,Portugal,,01. Inferior ao 1.º ciclo,,,, euros,704.2
2015,Portugal,,02. Básico - 1º Ciclo,,,, euros,779.7
2015,Portugal,,03. Básico - 2º Ciclo,,,, euros,804.4
2015,Portugal,,04. Básico - 3º Ciclo,,,, euros,861.2
2015,Portugal,,05. Secundário,,,, euros,1072.3
2015,Portugal,,06. Curso técnico superior profissional,,,x, euros,
2015,Portugal,,07. Bacharelato,,,, euros,1803.3
2015,Portugal,,08. Licenciatura,,,, euros,1820.2
2015,Portugal,,09. Mestrado,,,, euros,1760.2
2015,Portugal,,10. Doutoramento,,,, euros,2487.4
2015,Portugal,,Total,,,, euros,1094.1
