01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,08. Símbolo,07. Escala,09. Valor
2009,Alandroal,Município,Mulheres,,,, euros,558.5
2009,Alandroal,Município,Total,,,, euros,601.9
2009,Albergaria-a-Velha,Município,Homens,,,, euros,828.3
2009,Albergaria-a-Velha,Município,Mulheres,,,, euros,653.5
2009,Albergaria-a-Velha,Município,Total,,,, euros,763.0
2009,Albufeira,Município,Homens,,,, euros,827.3
2009,Albufeira,Município,Mulheres,,,, euros,679.8
2009,Albufeira,Município,Total,,,, euros,753.1
2009,Alcácer do Sal,Município,Homens,,,, euros,754.9
2009,Alcácer do Sal,Município,Mulheres,,,, euros,623.6
2009,Alcácer do Sal,Município,Total,,,, euros,698.0
2009,Alcanena,Município,Homens,,,, euros,802.9
2009,Alcanena,Município,Mulheres,,,, euros,686.0
2009,Alcanena,Município,Total,,,, euros,748.5
2009,Alcobaça,Município,Homens,,,, euros,764.3
2009,Alcobaça,Município,Mulheres,,,, euros,637.5
2009,Alcobaça,Município,Total,,,, euros,706.6
2009,Alcochete,Município,Homens,,,, euros,1729.6
2009,Alcochete,Município,Mulheres,,,, euros,743.0
2009,Alcochete,Município,Total,,,, euros,1263.7
2009,Alcoutim,Município,Homens,,,, euros,605.3
2009,Alcoutim,Município,Mulheres,,,, euros,605.4
2009,Alcoutim,Município,Total,,,, euros,605.3
2009,Alenquer,Município,Homens,,,, euros,883.8
2009,Alenquer,Município,Mulheres,,,, euros,708.0
2009,Alenquer,Município,Total,,,, euros,823.4
2009,Alfândega da Fé,Município,Homens,,,, euros,710.3
2009,Alfândega da Fé,Município,Mulheres,,,, euros,622.5
2009,Alfândega da Fé,Município,Total,,,, euros,665.6
2009,Alijó,Município,Homens,,,, euros,774.5
2009,Alijó,Município,Mulheres,,,, euros,670.3
2009,Alijó,Município,Total,,,, euros,732.7
2009,Aljezur,Município,Homens,,,, euros,660.0
2009,Aljezur,Município,Mulheres,,,, euros,613.2
2009,Aljezur,Município,Total,,,, euros,638.4
2009,Aljustrel,Município,Homens,,,, euros,766.7
2009,Aljustrel,Município,Mulheres,,,, euros,672.6
2009,Aljustrel,Município,Total,,,, euros,731.7
2009,Almada,Município,Homens,,,, euros,905.4
2009,Almada,Município,Mulheres,,,, euros,766.8
2009,Almada,Município,Total,,,, euros,835.4
2009,Almeida,Município,Homens,,,, euros,627.5
2009,Almeida,Município,Mulheres,,,, euros,592.5
2009,Almeida,Município,Total,,,, euros,611.4
2009,Almeirim,Município,Homens,,,, euros,747.2
2009,Almeirim,Município,Mulheres,,,, euros,643.7
2009,Almeirim,Município,Total,,,, euros,700.5
2009,Almodôvar,Município,Homens,,,, euros,640.8
2009,Almodôvar,Município,Mulheres,,,, euros,608.4
2009,Almodôvar,Município,Total,,,, euros,623.8
2009,Alpiarça,Município,Homens,,,, euros,777.0
2009,Alpiarça,Município,Mulheres,,,, euros,642.7
2009,Alpiarça,Município,Total,,,, euros,709.9
2009,Alter do Chão,Município,Homens,,,, euros,739.9
2009,Alter do Chão,Município,Mulheres,,,, euros,577.8
2009,Alter do Chão,Município,Total,,,, euros,655.0
2009,Alvaiázere,Município,Homens,,,, euros,655.3
2009,Alvaiázere,Município,Mulheres,,,, euros,580.6
2009,Alvaiázere,Município,Total,,,, euros,630.1
2009,Alvito,Município,Homens,,,, euros,710.1
2009,Alvito,Município,Mulheres,,,, euros,670.4
2009,Alvito,Município,Total,,,, euros,693.8
2009,Amadora,Município,Homens,,,, euros,1207.2
2009,Amadora,Município,Mulheres,,,, euros,947.8
2009,Amadora,Município,Total,,,, euros,1089.6
2009,Amarante,Município,Homens,,,, euros,693.1
2009,Amarante,Município,Mulheres,,,, euros,658.2
2009,Amarante,Município,Total,,,, euros,681.5
2009,Amares,Município,Homens,,,, euros,699.9
2009,Amares,Município,Mulheres,,,, euros,609.8
2009,Amares,Município,Total,,,, euros,670.2
2009,Anadia,Município,Homens,,,, euros,812.2
2009,Anadia,Município,Mulheres,,,, euros,670.9
2009,Anadia,Município,Total,,,, euros,745.8
2009,Angra do Heroísmo,Município,Homens,,,, euros,763.0
2009,Angra do Heroísmo,Município,Mulheres,,,, euros,744.1
2009,Angra do Heroísmo,Município,Total,,,, euros,755.3
2009,Ansião,Município,Homens,,,, euros,704.1
2009,Ansião,Município,Mulheres,,,, euros,653.4
2009,Ansião,Município,Total,,,, euros,681.2
2009,Arcos de Valdevez,Município,Homens,,,, euros,651.6
2009,Arcos de Valdevez,Município,Mulheres,,,, euros,592.8
2009,Arcos de Valdevez,Município,Total,,,, euros,623.2
2009,Arganil,Município,Homens,,,, euros,663.0
2009,Arganil,Município,Mulheres,,,, euros,574.8
2009,Arganil,Município,Total,,,, euros,618.0
2009,Armamar,Município,Homens,,,, euros,621.1
2009,Armamar,Município,Mulheres,,,, euros,613.5
2009,Armamar,Município,Total,,,, euros,618.3
2009,Arouca,Município,Homens,,,, euros,640.0
2009,Arouca,Município,Mulheres,,,, euros,571.7
2009,Arouca,Município,Total,,,, euros,613.9
2009,Arraiolos,Município,Homens,,,, euros,726.9
2009,Arraiolos,Município,Mulheres,,,, euros,613.1
2009,Arraiolos,Município,Total,,,, euros,679.0
2009,Arronches,Município,Homens,,,, euros,623.1
2009,Arronches,Município,Mulheres,,,, euros,579.3
2009,Arronches,Município,Total,,,, euros,601.5
2009,Arruda dos Vinhos,Município,Homens,,,, euros,820.5
2009,Arruda dos Vinhos,Município,Mulheres,,,, euros,760.4
2009,Arruda dos Vinhos,Município,Total,,,, euros,797.3
2009,Aveiro,Município,Homens,,,, euros,997.8
2009,Aveiro,Município,Mulheres,,,, euros,762.3
2009,Aveiro,Município,Total,,,, euros,895.5
2009,Avis,Município,Homens,,,, euros,790.6
2009,Avis,Município,Mulheres,,,, euros,568.0
2009,Avis,Município,Total,,,, euros,675.2
2009,Azambuja,Município,Homens,,,, euros,937.0
2009,Azambuja,Município,Mulheres,,,, euros,708.2
2009,Azambuja,Município,Total,,,, euros,829.4
2009,Baião,Município,Homens,,,, euros,608.3
2009,Baião,Município,Mulheres,,,, euros,603.0
2009,Baião,Município,Total,,,, euros,606.5
2009,Barcelos,Município,Homens,,,, euros,686.0
2009,Barcelos,Município,Mulheres,,,, euros,595.9
2009,Barcelos,Município,Total,,,, euros,642.1
2009,Barrancos,Município,Homens,,,, euros,650.9
2009,Barrancos,Município,Mulheres,,,, euros,589.1
2009,Barrancos,Município,Total,,,, euros,623.3
2009,Barreiro,Município,Homens,,,, euros,922.3
2009,Barreiro,Município,Mulheres,,,, euros,730.3
2009,Barreiro,Município,Total,,,, euros,830.6
2009,Batalha,Município,Homens,,,, euros,813.9
2009,Batalha,Município,Mulheres,,,, euros,652.0
2009,Batalha,Município,Total,,,, euros,748.2
2009,Beja,Município,Homens,,,, euros,792.6
2009,Beja,Município,Mulheres,,,, euros,754.1
2009,Beja,Município,Total,,,, euros,775.2
