01. Ano,02. Nome Região (Portugal),03. Indicador,04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
2007,Portugal,Ganho médio mensal,Homens,18 - 24 anos,, euros,,648.2
2007,Portugal,Ganho médio mensal,Homens,25 - 34 anos,, euros,,950.9
2007,Portugal,Ganho médio mensal,Homens,35 - 44 anos,, euros,,1154.6
2007,Portugal,Ganho médio mensal,Homens,45 - 54 anos,, euros,,1226.6
2007,Portugal,Ganho médio mensal,Homens,55 - 64 anos,, euros,,1242.2
2007,Portugal,Ganho médio mensal,Homens,65 ou mais anos,, euros,,1174.5
2007,Portugal,Ganho médio mensal,Homens,Desconhecido,, euros,,1017.0
2007,Portugal,Ganho médio mensal,Homens,Menos de 18 anos,, euros,,480.7
2007,Portugal,Ganho médio mensal,Homens,Total,, euros,,1068.3
2007,Portugal,Ganho médio mensal,Mulheres,18 - 24 anos,, euros,,589.8
2007,Portugal,Ganho médio mensal,Mulheres,25 - 34 anos,, euros,,824.6
2007,Portugal,Ganho médio mensal,Mulheres,35 - 44 anos,, euros,,882.7
2007,Portugal,Ganho médio mensal,Mulheres,45 - 54 anos,, euros,,863.5
2007,Portugal,Ganho médio mensal,Mulheres,55 - 64 anos,, euros,,855.8
2007,Portugal,Ganho médio mensal,Mulheres,65 ou mais anos,, euros,,861.4
2007,Portugal,Ganho médio mensal,Mulheres,Desconhecido,, euros,,670.2
2007,Portugal,Ganho médio mensal,Mulheres,Menos de 18 anos,, euros,,455.9
2007,Portugal,Ganho médio mensal,Mulheres,Total,, euros,,829.3
2007,Portugal,Ganho médio mensal,Total,18 - 24 anos,, euros,,622.9
2007,Portugal,Ganho médio mensal,Total,25 - 34 anos,, euros,,892.6
2007,Portugal,Ganho médio mensal,Total,35 - 44 anos,, euros,,1034.4
2007,Portugal,Ganho médio mensal,Total,45 - 54 anos,, euros,,1079.2
2007,Portugal,Ganho médio mensal,Total,55 - 64 anos,, euros,,1108.2
2007,Portugal,Ganho médio mensal,Total,65 ou mais anos,, euros,,1083.5
2007,Portugal,Ganho médio mensal,Total,Desconhecido,, euros,,861.0
2007,Portugal,Ganho médio mensal,Total,Menos de 18 anos,, euros,,472.9
2007,Portugal,Ganho médio mensal,Total,Total,, euros,,965.3
2008,Portugal,Ganho médio mensal,Homens,18 - 24 anos,, euros,,678.4
2008,Portugal,Ganho médio mensal,Homens,25 - 34 anos,, euros,,987.5
2008,Portugal,Ganho médio mensal,Homens,35 - 44 anos,, euros,,1204.1
2008,Portugal,Ganho médio mensal,Homens,45 - 54 anos,, euros,,1271.0
2008,Portugal,Ganho médio mensal,Homens,55 - 64 anos,, euros,,1291.6
2008,Portugal,Ganho médio mensal,Homens,65 ou mais anos,, euros,,1277.2
2008,Portugal,Ganho médio mensal,Homens,Desconhecido,, euros,,1049.4
2008,Portugal,Ganho médio mensal,Homens,Menos de 18 anos,, euros,,519.1
2008,Portugal,Ganho médio mensal,Homens,Total,, euros,,1115.4
2008,Portugal,Ganho médio mensal,Mulheres,18 - 24 anos,, euros,,622.2
2008,Portugal,Ganho médio mensal,Mulheres,25 - 34 anos,, euros,,867.2
2008,Portugal,Ganho médio mensal,Mulheres,35 - 44 anos,, euros,,934.4
2008,Portugal,Ganho médio mensal,Mulheres,45 - 54 anos,, euros,,897.1
2008,Portugal,Ganho médio mensal,Mulheres,55 - 64 anos,, euros,,892.3
2008,Portugal,Ganho médio mensal,Mulheres,65 ou mais anos,, euros,,899.3
2008,Portugal,Ganho médio mensal,Mulheres,Desconhecido,, euros,,689.6
2008,Portugal,Ganho médio mensal,Mulheres,Menos de 18 anos,, euros,,473.7
2008,Portugal,Ganho médio mensal,Mulheres,Total,, euros,,873.4
2008,Portugal,Ganho médio mensal,Total,18 - 24 anos,, euros,,654.1
2008,Portugal,Ganho médio mensal,Total,25 - 34 anos,, euros,,931.7
2008,Portugal,Ganho médio mensal,Total,35 - 44 anos,, euros,,1084.3
2008,Portugal,Ganho médio mensal,Total,45 - 54 anos,, euros,,1116.9
2008,Portugal,Ganho médio mensal,Total,55 - 64 anos,, euros,,1150.3
2008,Portugal,Ganho médio mensal,Total,65 ou mais anos,, euros,,1166.6
2008,Portugal,Ganho médio mensal,Total,Desconhecido,, euros,,885.7
2008,Portugal,Ganho médio mensal,Total,Menos de 18 anos,, euros,,505.8
2008,Portugal,Ganho médio mensal,Total,Total,, euros,,1010.4
2009,Portugal,Ganho médio mensal,Homens,18 - 24 anos,, euros,,689.1
2009,Portugal,Ganho médio mensal,Homens,25 - 34 anos,, euros,,990.0
2009,Portugal,Ganho médio mensal,Homens,35 - 44 anos,, euros,,1228.8
2009,Portugal,Ganho médio mensal,Homens,45 - 54 anos,, euros,,1300.4
2009,Portugal,Ganho médio mensal,Homens,55 - 64 anos,, euros,,1332.3
2009,Portugal,Ganho médio mensal,Homens,65 ou mais anos,, euros,,1337.0
2009,Portugal,Ganho médio mensal,Homens,Desconhecido,, euros,,1111.6
2009,Portugal,Ganho médio mensal,Homens,Menos de 18 anos,, euros,,533.8
2009,Portugal,Ganho médio mensal,Homens,Total,, euros,,1141.5
2009,Portugal,Ganho médio mensal,Mulheres,18 - 24 anos,, euros,,635.9
2009,Portugal,Ganho médio mensal,Mulheres,25 - 34 anos,, euros,,882.0
2009,Portugal,Ganho médio mensal,Mulheres,35 - 44 anos,, euros,,969.0
2009,Portugal,Ganho médio mensal,Mulheres,45 - 54 anos,, euros,,925.8
2009,Portugal,Ganho médio mensal,Mulheres,55 - 64 anos,, euros,,922.8
2009,Portugal,Ganho médio mensal,Mulheres,65 ou mais anos,, euros,,918.2
2009,Portugal,Ganho médio mensal,Mulheres,Desconhecido,, euros,,706.8
2009,Portugal,Ganho médio mensal,Mulheres,Menos de 18 anos,, euros,,493.7
2009,Portugal,Ganho médio mensal,Mulheres,Total,, euros,,901.0
2009,Portugal,Ganho médio mensal,Total,18 - 24 anos,, euros,,666.0
2009,Portugal,Ganho médio mensal,Total,25 - 34 anos,, euros,,939.8
2009,Portugal,Ganho médio mensal,Total,35 - 44 anos,, euros,,1112.7
2009,Portugal,Ganho médio mensal,Total,45 - 54 anos,, euros,,1143.4
2009,Portugal,Ganho médio mensal,Total,55 - 64 anos,, euros,,1182.9
2009,Portugal,Ganho médio mensal,Total,65 ou mais anos,, euros,,1208.7
2009,Portugal,Ganho médio mensal,Total,Desconhecido,, euros,,921.9
2009,Portugal,Ganho médio mensal,Total,Menos de 18 anos,, euros,,521.2
2009,Portugal,Ganho médio mensal,Total,Total,, euros,,1036.4
2010,Portugal,Ganho médio mensal,Homens,18 - 24 anos,, euros,,731.9
2010,Portugal,Ganho médio mensal,Homens,25 - 34 anos,, euros,,1018.2
2010,Portugal,Ganho médio mensal,Homens,35 - 44 anos,, euros,,1262.8
2010,Portugal,Ganho médio mensal,Homens,45 - 54 anos,, euros,,1344.0
2010,Portugal,Ganho médio mensal,Homens,55 - 64 anos,, euros,,1404.2
2010,Portugal,Ganho médio mensal,Homens,65 ou mais anos,, euros,,1436.3
2010,Portugal,Ganho médio mensal,Homens,Desconhecido,, euros,,1456.9
2010,Portugal,Ganho médio mensal,Homens,Menos de 18 anos,, euros,,581.6
2010,Portugal,Ganho médio mensal,Homens,Total,, euros,,1185.7
2010,Portugal,Ganho médio mensal,Mulheres,18 - 24 anos,, euros,,674.8
2010,Portugal,Ganho médio mensal,Mulheres,25 - 34 anos,, euros,,907.3
2010,Portugal,Ganho médio mensal,Mulheres,35 - 44 anos,, euros,,1009.8
2010,Portugal,Ganho médio mensal,Mulheres,45 - 54 anos,, euros,,962.0
2010,Portugal,Ganho médio mensal,Mulheres,55 - 64 anos,, euros,,962.9
2010,Portugal,Ganho médio mensal,Mulheres,65 ou mais anos,, euros,,973.8
2010,Portugal,Ganho médio mensal,Mulheres,Desconhecido,, euros,,927.4
2010,Portugal,Ganho médio mensal,Mulheres,Menos de 18 anos,, euros,,524.2
2010,Portugal,Ganho médio mensal,Mulheres,Total,, euros,,937.6
2010,Portugal,Ganho médio mensal,Total,18 - 24 anos,, euros,,706.7
2010,Portugal,Ganho médio mensal,Total,25 - 34 anos,, euros,,966.3
2010,Portugal,Ganho médio mensal,Total,35 - 44 anos,, euros,,1148.8
2010,Portugal,Ganho médio mensal,Total,45 - 54 anos,, euros,,1182.2
2010,Portugal,Ganho médio mensal,Total,55 - 64 anos,, euros,,1239.3
2010,Portugal,Ganho médio mensal,Total,65 ou mais anos,, euros,,1292.4
2010,Portugal,Ganho médio mensal,Total,Desconhecido,, euros,,1247.0
2010,Portugal,Ganho médio mensal,Total,Menos de 18 anos,, euros,,563.5
2010,Portugal,Ganho médio mensal,Total,Total,, euros,,1076.3
2011,Portugal,Ganho médio mensal,Homens,18 - 24 anos,, euros,,745.0
